USN,Section,Batch,Sem
1BI22CD001,A,2022,1
1BI22CD002,A,2022,1
1BI22CD003,A,2022,1
1BI22CD004,A,2022,1
1BI22CD005,A,2022,1
1BI22CD006,A,2022,1
1BI22CD007,A,2022,1
1BI22CD008,A,2022,1
1BI22CD009,A,2022,1
1BI22CD010,A,2022,1
1BI22CD011,A,2022,1
1BI22CD012,A,2022,1
1BI22CD013,A,2022,1
1BI22CD014,A,2022,1
1BI22CD015,A,2022,1
1BI22CD016,A,2022,1
1BI22CD017,A,2022,1
1BI22CD018,A,2022,1
1BI22CD019,A,2022,1
1BI22CD020,A,2022,1
1BI22CD021,A,2022,1
1BI22CD022,A,2022,1
1BI22CD023,A,2022,1
1BI22CD024,A,2022,1
1BI22CD025,A,2022,1
1BI22CD026,A,2022,1
1BI22CD027,A,2022,1
1BI22CD028,A,2022,1
1BI22CD029,A,2022,1
1BI22CD030,A,2022,1
1BI22CD031,A,2022,1
1BI22CD032,A,2022,1
1BI22CD033,A,2022,1
1BI22CD034,A,2022,1
1BI22CD035,A,2022,1
1BI22CD036,A,2022,1
1BI22CD037,A,2022,1
1BI22CD038,A,2022,1
1BI22CD039,A,2022,1
1BI22CD040,A,2022,1
1BI22CD041,A,2022,1
1BI22CD042,A,2022,1
1BI22CD043,A,2022,1
1BI22CD044,A,2022,1
1BI22CD045,A,2022,1
1BI22CD046,A,2022,1
1BI22CD047,A,2022,1
1BI22CD048,A,2022,1
1BI22CD049,A,2022,1
1BI22CD050,A,2022,1
1BI22CD051,A,2022,1
1BI22CD052,A,2022,1
1BI22CD053,A,2022,1
1BI22CD054,A,2022,1
1BI22CD055,A,2022,1
1BI22CD056,A,2022,1
1BI22CD057,A,2022,1
1BI22CD058,A,2022,1
1BI22CD059,A,2022,1
1BI22CD060,A,2022,1
1BI22CD061,A,2022,1
1BI22CD062,A,2022,1
1BI22CD063,A,2022,1
