USN,Section,Batch,Sem
1BI22CS001,A,2022,1
1BI22CS002,A,2022,1
1BI22CS003,A,2022,1
1BI22CS004,A,2022,1
1BI22CS005,A,2022,1
1BI22CS006,A,2022,1
1BI22CS007,A,2022,1
1BI22CS008,A,2022,1
1BI22CS009,A,2022,1
1BI22CS010,A,2022,1
1BI22CS011,A,2022,1
1BI22CS012,A,2022,1
1BI22CS013,A,2022,1
1BI22CS014,A,2022,1
1BI22CS015,A,2022,1
1BI22CS016,A,2022,1
1BI22CS017,A,2022,1
1BI22CS018,A,2022,1
1BI22CS019,A,2022,1
1BI22CS020,A,2022,1
1BI22CS021,A,2022,1
1BI22CS022,A,2022,1
1BI22CS023,A,2022,1
1BI22CS024,A,2022,1
1BI22CS025,A,2022,1
1BI22CS026,A,2022,1
1BI22CS027,A,2022,1
1BI22CS028,A,2022,1
1BI22CS029,A,2022,1
1BI22CS030,A,2022,1
1BI22CS031,A,2022,1
1BI22CS032,A,2022,1
1BI22CS033,A,2022,1
1BI22CS034,A,2022,1
1BI22CS035,A,2022,1
1BI22CS036,A,2022,1
1BI22CS037,A,2022,1
1BI22CS038,A,2022,1
1BI22CS039,A,2022,1
1BI22CS040,A,2022,1
1BI22CS041,A,2022,1
1BI22CS042,A,2022,1
1BI22CS043,A,2022,1
1BI22CS044,A,2022,1
1BI22CS045,A,2022,1
1BI22CS046,A,2022,1
1BI22CS047,A,2022,1
1BI22CS048,A,2022,1
1BI22CS049,A,2022,1
1BI22CS050,A,2022,1
1BI22CS051,A,2022,1
1BI22CS052,A,2022,1
1BI22CS053,A,2022,1
1BI22CS054,A,2022,1
1BI22CS055,A,2022,1
1BI22CS056,A,2022,1
1BI22CS057,A,2022,1
1BI22CS058,A,2022,1
1BI22CS059,A,2022,1
1BI22CS060,A,2022,1
1BI22CS061,A,2022,1
1BI22CS062,A,2022,1
1BI22CS063,A,2022,1
1BI22CS064,A,2022,1
1BI22CS065,A,2022,1
1BI22CS066,B,2022,1
1BI22CS067,B,2022,1
1BI22CS068,B,2022,1
1BI22CS069,B,2022,1
1BI22CS070,B,2022,1
