USN,Section,Batch,Sem
1BI21CS161,C,2021,3
1BI21CS162,C,2021,3
1BI21CS163,C,2021,3
1BI21CS164,C,2021,3
1BI21CS165,C,2021,3
1BI21CS166,C,2021,3
1BI21CS167,C,2021,3
1BI21CS168,C,2021,3
1BI21CS169,C,2021,3
1BI21CS170,C,2021,3
1BI21CS171,C,2021,3
1BI21CS172,C,2021,3
1BI21CS173,C,2021,3
1BI21CS174,C,2021,3
1BI21CS175,C,2021,3
1BI21CS176,C,2021,3
1BI21CS178,C,2021,3
1BI21CS182,C,2021,3
1BI21CS184,C,2021,3
1BI21CS186,C,2021,3
1BI21CS189,C,2021,3
1BI21CS193,C,2021,3
1BI21CS194,C,2021,3
1BI22CS412,C,2021,3
1BI22CS413,C,2021,3
1BI22CS414,C,2021,3
1BI22CS415,C,2021,3
1BI22CS416,C,2021,3
1BI22CS417,C,2021,3
