USN,Section,Batch,Sem
1BI21CS124,B,2021,5
1BI21CS125,B,2021,5
1BI21CS177,B,2021,5
1BI21CS180,B,2021,5
1BI21CS181,B,2021,5
1BI21CS188,B,2021,5
1BI21CS190,B,2021,5
1BI22CS402,B,2021,5
1BI22CS403,B,2021,5
1BI22CS406,B,2021,5
1BI22CS407,B,2021,5
1BI22CS409,B,2021,5
1BI22CS413,B,2021,5
1BI22CS416,B,2021,5
1BI22CS417,B,2021,5
1BI20CS162,C,2021,5
1BI21CS008,C,2021,5
1BI21CS022,C,2021,5
1BI21CS038,C,2021,5
1BI21CS058,C,2021,5
1BI21CS061,C,2021,5
1BI21CS075,C,2021,5
1BI21CS119,C,2021,5
1BI21CS126,C,2021,5
1BI21CS127,C,2021,5
1BI21CS128,C,2021,5
1BI21CS129,C,2021,5
1BI21CS130,C,2021,5
1BI21CS131,C,2021,5
1BI21CS132,C,2021,5
1BI21CS133,C,2021,5
1BI21CS134,C,2021,5
1BI21CS135,C,2021,5
1BI21CS136,C,2021,5
1BI21CS137,C,2021,5
1BI21CS138,C,2021,5
1BI21CS139,C,2021,5
1BI21CS140,C,2021,5
1BI21CS141,C,2021,5
1BI21CS142,C,2021,5
1BI21CS143,C,2021,5
1BI21CS144,C,2021,5
1BI21CS145,C,2021,5
1BI21CS146,C,2021,5
1BI21CS147,C,2021,5
1BI21CS148,C,2021,5
1BI21CS149,C,2021,5
1BI21CS150,C,2021,5
1BI21CS151,C,2021,5
1BI21CS152,C,2021,5
1BI21CS153,C,2021,5
1BI21CS154,C,2021,5
1BI21CS155,C,2021,5
1BI21CS156,C,2021,5
1BI21CS157,C,2021,5
1BI21CS158,C,2021,5
1BI21CS159,C,2021,5
1BI21CS160,C,2021,5
1BI21CS161,C,2021,5
1BI21CS162,C,2021,5
1BI21CS163,C,2021,5
1BI21CS164,C,2021,5
1BI21CS165,C,2021,5
1BI21CS166,C,2021,5
1BI21CS167,C,2021,5
1BI21CS168,C,2021,5
1BI21CS169,C,2021,5
1BI21CS170,C,2021,5
1BI21CS171,C,2021,5
1BI21CS172,C,2021,5
1BI21CS173,C,2021,5
1BI21CS174,C,2021,5
1BI21CS175,C,2021,5
1BI21CS176,C,2021,5
1BI21CS178,C,2021,5
1BI21CS182,C,2021,5
1BI21CS184,C,2021,5
1BI21CS186,C,2021,5
1BI21CS189,C,2021,5
1BI21CS193,C,2021,5
1BI21CS194,C,2021,5
1BI22CS400,C,2021,5
1BI22CS401,C,2021,5
1BI22CS404,C,2021,5
1BI22CS405,C,2021,5
1BI22CS408,C,2021,5
1BI22CS411,C,2021,5
1BI22CS414,C,2021,5
